member_casual,hour,total_rides,avg_ride_minutes
member,17,377501,13.02
member,15,235379,12.54
member,8,254808,11.06
member,16,331318,12.80
member,1,19251,11.55
member,6,100170,11.12
member,23,49201,12.29
member,18,291794,12.64
member,12,188374,11.81
member,13,184086,12.04
member,9,165420,10.94
casual,9,68682,20.39
member,11,166895,12.26
member,7,198186,11.13
casual,10,83064,23.98
casual,12,124346,23.16
casual,16,169559,19.85
casual,22,60372,17.18
casual,11,105945,24.11
casual,13,127597,23.26
casual,15,149105,21.38
casual,0,36861,16.33
member,21,108644,12.18
member,22,79050,12.07
member,19,201245,12.33
member,0,31552,11.41
member,14,186661,12.55
member,5,33567,10.84
member,10,142382,11.86
member,3,7620,12.06
member,20,139115,12.20
casual,14,134035,23.01
casual,21,71422,17.34
member,2,11501,11.75
casual,20,84129,17.78
casual,6,25978,13.36
casual,23,43566,17.58
casual,17,184040,19.07
casual,2,15752,16.35
casual,1,23693,16.59
casual,18,157466,18.65
casual,7,48239,13.99
casual,19,116734,18.43
member,4,8670,11.05
casual,4,6976,14.24
casual,8,68754,15.24
casual,5,10984,14.57
casual,3,8756,15.74
