member_casual,month,total_rides,avg_ride_minutes
member,January,112331,9.97
member,December,137570,10.60
casual,January,23405,11.97
casual,December,37360,13.83
member,February,122097,9.95
casual,February,27003,12.37
member,March,208458,11.12
casual,March,82864,17.88
member,April,257921,11.27
casual,April,105260,18.65
member,May,313996,11.89
casual,May,175655,20.82
member,June,379523,12.84
casual,June,278702,21.90
member,July,430394,13.15
casual,July,308446,21.43
casual,August,323533,21.70
member,August,443130,13.07
member,September,440954,12.61
casual,September,254727,19.54
member,October,414094,12.11
casual,October,214380,18.09
casual,November,94720,15.48
member,November,251922,11.67
