member_casual,start_station_name,total_rides
member,"Kingsbury St & Kinzie St",32012
casual,"DuSable Lake Shore Dr & Monroe St",30892
casual,"Navy Pier",26772
member,"Clinton St & Washington Blvd",25635
casual,"Streeter Dr & Grand Ave",23713
member,"Clinton St & Madison St",22232
member,"Canal St & Madison St",22112
casual,"Michigan Ave & Oak St",22105
member,"Clark St & Elm St",21227
member,"Wells St & Elm St",19108
casual,"DuSable Lake Shore Dr & North Blvd",19054
member,"State St & Chicago Ave",18982
casual,"Millennium Park",18811
member,"Clinton St & Jackson Blvd",18414
member,"Wells St & Concord Ln",18346
member,"Wells St & Huron St",17761
member,"Canal St & Adams St",17025
casual,"Shedd Aquarium",16736
member,"University Ave & 57th St",16446
member,"Larrabee St & Kingsbury St",15852
member,"Daley Center Plaza",15809
casual,"Dusable Harbor",15541
member,"Desplaines St & Kinzie St",15475
casual,"Theater on the Lake",15465
member,"Kingsbury St & Erie St",15455
member,"Dearborn St & Erie St",15030
member,"Wells St & Hubbard St",14899
member,"Orleans St & Merchandise Mart Plaza",14743
member,"Dearborn Pkwy & Delaware Pl",14659
member,"Clark St & Armitage Ave",14491
member,"McClurg Ct & Ohio St",14239
member,"Clinton St & Lake St",14221
member,"DuSable Lake Shore Dr & North Blvd",14181
member,"Wilton Ave & Belmont Ave",14147
member,"Ellis Ave & 60th St",13934
member,"Clark St & Lincoln Ave",13667
member,"Columbus Dr & Randolph St",13550
member,"Ellis Ave & 55th St",13463
member,"Ravenswood Ave & Lawrence Ave",13439
member,"Clark St & Lake St",13332
member,"Franklin St & Monroe St",13277
member,"Broadway & Cornelia Ave",13276
member,"Wabash Ave & Grand Ave",13164
member,"Broadway & Waveland Ave",13131
member,"Green St & Madison St",12793
member,"Indiana Ave & Roosevelt Rd",12708
member,"Michigan Ave & Oak St",12541
member,"Michigan Ave & Washington St",12462
member,"Broadway & Barry Ave",12198
member,"Halsted St & Clybourn Ave",12130
member,"LaSalle St & Illinois St",12112
member,"New St & Illinois St",11878
member,"Lincoln Ave & Fullerton Ave",11876
member,"Clark St & Wrightwood Ave",11859
member,"Wabash Ave & Roosevelt Rd",11845
member,"Southport Ave & Waveland Ave",11577
member,"Theater on the Lake",11504
member,"St. Clair St & Erie St",11488
member,"Federal St & Polk St",11448
member,"Dearborn St & Monroe St",11310
member,"Sheffield Ave & Fullerton Ave",11295
casual,"Michigan Ave & 8th St",11073
member,"LaSalle St & Jackson Blvd",11068
member,"Michigan Ave & Lake St",10991
member,"Pine Grove Ave & Waveland Ave",10869
member,"DuSable Lake Shore Dr & Diversey Pkwy",10790
member,"Sedgwick St & Huron St",10648
member,"Franklin St & Jackson Blvd",10438
casual,"Montrose Harbor",10353
member,"Clark St & Schiller St",10263
member,"Franklin St & Lake St",10197
member,"Clark St & Drummond Pl",10179
member,"Fairbanks Ct & Grand Ave",10111
member,"Aberdeen St & Jackson Blvd",10088
member,"Ashland Ave & Division St",10064
member,"Loomis St & Lexington St",10060
member,"Kimbark Ave & 53rd St",9933
casual,"Adler Planetarium",9933
casual,"Field Museum",9926
member,"Clarendon Ave & Gordon Ter",9896
member,"McClurg Ct & Erie St",9775
member,"Canal St & Jackson Blvd",9719
member,"Broadway & Sheridan Rd",9703
member,"Halsted St & Fulton St",9698
member,"Peoria St & Jackson Blvd",9686
member,"Rush St & Cedar St",9672
member,"Clark St & Newport St",9595
member,"Southport Ave & Roscoe St",9574
member,"Halsted St & Roscoe St",9571
member,"Wells St & Walton St",9560
member,"Larrabee St & Webster Ave",9552
member,"Lakeview Ave & Fullerton Pkwy",9546
member,"Pine Grove Ave & Irving Park Rd",9527
casual,"Kingsbury St & Kinzie St",9507
member,"Morgan St & Polk St",9445
casual,"Michigan Ave & Washington St",9403
member,"Sheridan Rd & Irving Park Rd",9391
casual,"Clark St & Armitage Ave",9295
casual,"Clark St & Lincoln Ave",9277
casual,"Indiana Ave & Roosevelt Rd",9276
member,"DuSable Lake Shore Dr & Belmont Ave",9250
member,"Wells St & Evergreen Ave",9239
member,"Desplaines St & Jackson Blvd",9179
casual,"Wabash Ave & Grand Ave",9127
casual,"Clark St & Elm St",9051
casual,"Wells St & Concord Ln",9040
member,"DuSable Lake Shore Dr & Wellington Ave",9007
member,"Franklin St & Chicago Ave",8913
member,"Halsted St & Wrightwood Ave",8908
member,"Mies van der Rohe Way & Chestnut St",8885
member,"Clark St & Winnemac Ave",8865
member,"Franklin St & Illinois St",8845
casual,"New St & Illinois St",8831
member,"Sheffield Ave & Kingsbury St",8734
member,"Sheffield Ave & Webster Ave",8717
member,"Milwaukee Ave & Grand Ave",8678
member,"Rush St & Superior St",8675
member,"Broadway & Belmont Ave",8650
member,"State St & Kinzie St",8637
member,"Sheffield Ave & Wellington Ave",8607
member,"Clark St & Wellington Ave",8604
member,"Sheffield Ave & Wrightwood Ave",8539
member,"Damen Ave & Pierce Ave",8497
member,"Sheridan Rd & Montrose Ave",8495
member,"Wabash Ave & 9th St",8401
member,"Millennium Park",8396
member,"Halsted St & Polk St",8395
casual,"Michigan Ave & Lake St",8330
member,"Mies van der Rohe Way & Chicago Ave",8296
member,"DuSable Lake Shore Dr & Monroe St",8192
casual,"LaSalle St & Illinois St",8139
member,"Elston Ave & Cortland St",8105
member,"Burling St & Diversey Pkwy",8061
member,"State St & Randolph St",8048
member,"Morgan St & Lake St*",7981
member,"Sedgwick St & Webster Ave",7945
member,"Clarendon Ave & Junior Ter",7914
member,"Wells St & Randolph St",7907
casual,"DuSable Lake Shore Dr & Diversey Pkwy",7902
casual,"Columbus Dr & Randolph St",7856
member,"Dayton St & North Ave",7833
casual,"Wells St & Elm St",7827
member,"Field Blvd & South Water St",7826
member,"Stockton Dr & Wrightwood Ave",7818
casual,"McClurg Ct & Ohio St",7776
casual,"Wells St & Huron St",7765
member,"Clark St & Chicago Ave",7762
member,"Sedgwick St & North Ave",7634
member,"Ogden Ave & Chicago Ave",7572
casual,"Buckingham Fountain",7567
member,"Wells St & Polk St",7469
member,"Wilton Ave & Diversey Pkwy",7456
member,"Navy Pier",7451
casual,"Dearborn St & Erie St",7371
member,"Sheffield Ave & Waveland Ave",7345
member,"Michigan Ave & 14th St",7328
member,"Cityfront Plaza Dr & Pioneer Ct",7316
casual,"DuSable Lake Shore Dr & Belmont Ave",7309
member,"Halsted St & Dickens Ave",7306
member,"Clark St & Berwyn Ave",7262
member,"Ritchie Ct & Banks St",7260
member,"Aberdeen St & Randolph St",7256
member,"Canal St & Monroe St",7240
casual,"Wells St & Hubbard St",7192
casual,"Canal St & Madison St",7187
member,"Wacker Dr & Washington St",7155
member,"Racine Ave & Fullerton Ave",7153
member,"Montrose Harbor",7153
member,"Bissell St & Armitage Ave*",7083
casual,"State St & Chicago Ave",7080
member,"Dearborn St & Adams St",7070
casual,"Wilton Ave & Belmont Ave",7064
member,"Southport Ave & Wellington Ave",6996
member,"Lincoln Ave & Melrose St",6984
casual,"Clinton St & Madison St",6959
member,"Clifton Ave & Armitage Ave",6928
member,"Lincoln Ave & Diversey Pkwy",6876
casual,"Dearborn Pkwy & Delaware Pl",6843
member,"Stetson Ave & South Water St",6827
member,"Shore Dr & 55th St",6790
member,"Damen Ave & Chicago Ave",6762
member,"Elizabeth St & Randolph St",6726
member,"Orleans St & Hubbard St",6726
member,"California Ave & Milwaukee Ave",6722
member,"Ellis Ave & 58th St",6663
member,"Damen Ave & Cortland St",6626
member,"Larrabee St & Division St",6570
member,"Kedzie Ave & Milwaukee Ave",6570
member,"Blackstone Ave & 59th St",6570
member,"Sheridan Rd & Buena Ave",6561
member,"Broadway & Wilson Ave",6559
casual,"Lincoln Park Conservatory",6537
member,"Paulina St & Flournoy St",6514
member,"Streeter Dr & Grand Ave",6514
member,"Rush St & Hubbard St",6508
casual,"Clark St & Newport St",6508
member,"May St & Taylor St",6486
member,"Financial Pl & Ida B Wells Dr",6436
member,"Honore St & Division St",6436
member,"Wolcott Ave & Polk St",6428
member,"LaSalle Dr & Huron St",6371
member,"Racine Ave & Belmont Ave",6361
member,"Sheffield Ave & Willow St",6320
member,"Michigan Ave & 8th St",6316
casual,"Michigan Ave & Jackson Blvd",6287
member,"Sangamon St & Lake St",6285
casual,"Fairbanks Ct & Grand Ave",6171
casual,"Broadway & Cornelia Ave",6146
member,"900 W Harrison St",6136
casual,"DuSable Lake Shore Dr & Wellington Ave",6117
member,"Lincoln Ave & Roscoe St*",6114
casual,"Daley Center Plaza",6080
member,"Aberdeen St & Monroe St",6078
casual,"Desplaines St & Kinzie St",6055
member,"Woodlawn Ave & 55th St",6047
member,"Southport Ave & Belmont Ave",6042
member,"Wabash Ave & Adams St",6036
member,"Wood St & Milwaukee Ave",6026
member,"Woodlawn Ave & 58th St",6006
casual,"Orleans St & Merchandise Mart Plaza",6005
member,"Clark St & North Ave",5950
member,"Southport Ave & Wrightwood Ave",5938
member,"Halsted St & Willow St",5903
casual,"Wabash Ave & Roosevelt Rd",5842
member,"Clark St & Ida B Wells Dr",5836
member,"Carpenter St & Huron St",5802
member,"Lakefront Trail & Bryn Mawr Ave",5797
casual,"Sheffield Ave & Waveland Ave",5785
casual,"Clark St & Lake St",5756
casual,"St. Clair St & Erie St",5734
casual,"Broadway & Barry Ave",5732
member,"Clark St & Grace St",5683
member,"Lincoln Park Conservatory",5678
member,"Sangamon St & Washington Blvd",5654
member,"Wabash Ave & Wacker Pl",5610
casual,"Wells St & Evergreen Ave",5591
member,"Dusable Harbor",5578
casual,"Wabash Ave & Wacker Pl",5553
casual,"Larrabee St & Webster Ave",5530
member,"Larrabee St & Oak St",5527
casual,"Lakeview Ave & Fullerton Pkwy",5492
member,"Damen Ave & Division St",5489
casual,"Cityfront Plaza Dr & Pioneer Ct",5472
casual,"Mies van der Rohe Way & Chestnut St",5469
member,"Ogden Ave & Race Ave",5420
casual,"Clark St & Wrightwood Ave",5409
member,"Ada St & Washington Blvd",5393
casual,"Lakefront Trail & Bryn Mawr Ave",5389
member,"Green St & Randolph St*",5378
member,"Michigan Ave & Jackson Blvd",5372
casual,"Pine Grove Ave & Waveland Ave",5362
member,"Wood St & Chicago Ave",5335
member,"Halsted St & Maxwell St",5332
casual,"Clinton St & Jackson Blvd",5314
member,"Wells St & Institute Pl",5287
casual,"Franklin St & Jackson Blvd",5267
member,"Noble St & Milwaukee Ave",5245
member,"Western Ave & Winnebago Ave",5242
member,"Clark St & Leland Ave",5242
member,"Milwaukee Ave & The 606",5240
member,"State St & Pearson St",5209
member,"LaSalle St & Washington St",5206
casual,"Broadway & Waveland Ave",5181
casual,"Sheffield Ave & Fullerton Ave",5169
casual,"Field Blvd & South Water St",5169
casual,"Clinton St & Washington Blvd",5148
member,"Wabash Ave & 16th St",5132
member,"Orleans St & Chestnut St (NEXT Apts)",5126
member,"Broadway & Berwyn Ave",5095
member,"Desplaines St & Randolph St",5094
member,"Damen Ave & Thomas St (Augusta Blvd)",5078
member,"Greenview Ave & Fullerton Ave",5057
member,"Clark St & Bryn Mawr Ave",5047
casual,"McCormick Place",5047
member,"Elizabeth St & Fulton St",5043
member,"University Ave & 59th St",5016
casual,"Sheffield Ave & Wrightwood Ave",5013
casual,"State St & Randolph St",5008
member,"Ashland Ave & Blackhawk St",5008
casual,"Green St & Madison St",4988
casual,"Southport Ave & Waveland Ave",4968
member,"Ashland Ave & Chicago Ave",4946
member,"Michigan Ave & 18th St",4945
casual,"Clark St & Schiller St",4938
casual,"Halsted St & Clybourn Ave",4934
member,"State St & Van Buren St",4924
member,"Jefferson St & Monroe St",4922
member,"Franklin St & Adams St ",4901
casual,"University Ave & 57th St",4899
casual,"Halsted St & Roscoe St",4879
casual,"Canal St & Adams St",4863
member,"Eckhart Park",4857
casual,"Southport Ave & Roscoe St",4852
member,"Sheridan Rd & Argyle St",4848
member,"Lake Park Ave & 56th St",4845
casual,"Halsted St & Wrightwood Ave",4835
member,"Clinton St & Tilden St",4827
member,"Larrabee St & Armitage Ave",4819
casual,"Wabash Ave & 9th St",4818
member,"Clarendon Ave & Leland Ave",4807
member,"MLK Jr Dr & 29th St",4806
member,"Clark St & Montrose Ave",4765
member,"Southport Ave & Irving Park Rd",4764
